fid,date,x,y
54,2021/08/19 10:06:09,28.236973064657,-25.7625526008436
55,2021/08/19 11:23:47,28.2325636568463,-25.761953900008
56,2021/08/19 10:02:28,28.2367234638321,-25.7626193409054
57,2021/08/19 11:18:08,28.2348118598966,-25.7625270261339
58,2021/08/19 10:17:24,28.2365607848428,-25.7657361813054
59,2021/08/19 11:37:31,28.2330782165509,-25.7631746586937
60,2021/08/19 10:11:03,28.2369978441254,-25.7633580128699
61,2021/08/19 11:32:46,28.2323076368549,-25.7623224427852
62,2021/08/19 11:08:41,28.2343447741474,-25.7640398640181
63,2021/08/19 10:20:09,28.2361981353683,-25.7661545082869
64,2021/08/19 11:07:45,28.2342539555517,-25.7644291269021
65,2021/08/19 10:19:24,28.2363484,-25.7661012
66,2021/08/19 11:12:19,28.2359946601712,-25.7638329749814
67,2021/08/19 10:23:10,28.2356763457801,-25.7667773369914
68,2021/08/19 11:10:35,28.2354208786796,-25.7636902676218
69,2021/08/19 10:22:46,28.2356065736201,-25.7668731156948
70,2021/08/19 11:02:07,28.2349882283169,-25.7652842924094
71,2021/08/19 11:02:36,28.2352181593505,-25.7651899237256
72,2021/08/19 09:42:10,28.230679640538,-25.7609968275726
73,2021/08/19 11:03:29,28.2356823232492,-25.765293894154
74,2021/08/19 09:45:10,28.2316197899546,-25.7612304887352
75,2021/08/19 11:03:57,28.2358372959704,-25.7653476712717
76,2021/08/19 11:00:03,28.2344592598265,-25.765225358992
77,2021/08/19 09:47:12,28.2317578417874,-25.761453907124
78,2021/08/19 11:00:24,28.2345920555016,-25.764997203061
79,2021/08/19 09:48:07,28.2321305568517,-25.761376322974
80,2021/08/19 11:01:28,28.2349122043251,-25.7652314654335
81,2021/08/19 09:51:36,28.2337410943139,-25.7617569537243
82,2021/08/19 11:01:36,28.2349851312641,-25.7650994674243
83,2021/08/19 09:58:35,28.234457436049,-25.761951834723
84,2021/08/19 10:40:37,28.2296624541671,-25.7652073893926
85,2021/08/19 10:39:52,28.2302241361516,-25.7654552124783
86,2021/08/19 10:37:57,28.230192507278,-25.7654301282893
87,2021/08/19 10:37:16,28.2306335207461,-25.7655095303006
88,2021/08/19 10:56:22,28.2339047001929,-25.7656584877601
89,2021/08/19 10:54:14,28.2341215525629,-25.7650585807076
90,2021/08/19 10:52:27,28.2331337303816,-25.7646694684753
91,2021/08/19 10:45:02,28.2308737757115,-25.7640644795207
92,2021/08/19 10:27:57,28.2341033549063,-25.7664031903371
93,2021/08/19 11:49:44,28.230402981436,-25.7631772277644
94,2021/08/19 10:29:23,28.2333164004428,-25.766196860369
95,2021/08/19 10:23:33,28.2356510017009,-25.7667618472597
96,2021/08/19 11:44:27,28.2318914216732,-25.7638081512643
97,2021/08/19 10:25:48,28.2347213439328,-25.7664779405199
98,2021/08/19 11:46:20,28.2320864060846,-25.7628727759804
99,2021/08/19 11:42:36,28.2322408618345,-25.7631099062452
100,2021/08/19 10:35:02,28.2310047674706,-25.7656632291741
101,2021/08/19 11:43:26,28.2320107406621,-25.763431262095
102,2021/08/19 10:36:59,28.2307026457583,-25.7655304611073
103,2021/08/19 11:38:35,28.233515438593,-25.7632040213929
104,2021/08/19 10:30:55,28.2328714950938,-25.7660904118387
105,2021/08/19 11:42:24,28.2322604463899,-25.7630468855271
106,2021/08/19 10:32:41,28.2321991186792,-25.7659997028807
107,2021/08/19 11:51:29,28.2302916338479,-25.7635520649795
108,2021/08/19 10:20:51,28.237714102579,-25.7459568324835
109,2021/08/19 10:19:37,28.2371116021494,-25.7460674941746
110,2021/08/19 10:38:22,28.2398671098316,-25.7493351213779
111,2021/08/19 11:28:32,28.2355498254205,-25.74906284959
112,2021/08/19 10:01:06,28.2325681237554,-25.7481574591181
113,2021/08/19 10:02:05,28.232563514836,-25.7481313580071
114,2021/08/19 12:10:38,28.2365558078159,-25.7489282918198
115,2021/08/19 12:12:35,28.2358047915197,-25.7491700065674
116,2021/08/19 10:13:08,28.2353324136573,-25.7460813475086
117,2021/08/19 10:16:27,28.2364155659867,-25.7461503420666
